,VehicleId,PolicyActivityId,PolicyNumber,VinMasterId,Vin,Manufacturer,Model,ModelYear,SeatingCapacity,VehicleTypeCode,VehicleSlno,VehicleEffectiveDate,VehicleExpirationDate,RegistrationState,RegPlateNo,BumperDiscountInd,DamagiabilityInd,DrlInd,EngineType,UnrepairedDamageInd,CarpoolInd,NewVehicleInd,NonOwnedVehicleInd,PrincOperInd,TractionCtrlInd,PhysicalDamageInd,VehicleLength,MaxSpeed,OrigCost,MedallionNo,VehiclePerformance,FullGlassProtection,GvwCode,Odometer,VehicleAge,VehicleActivityCode,OldVehicleId,VehicleVersion,AnnualMilage,PrimaryDriver,SecondaryDriver,IsActive,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,EncryptedVin,VehicleActualCost,InspectionDate,InspectionStatus,VehicleCondition,InspectionDueDate,DocumentReceivedDate,InspectionRequired,InspectionNumber,CertificateHolderCity
417,605,Q0000170,,,XXXXXXXXXXXA70519,27.0,126.0,2019.0,0.0,,16.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABHQlO06WTaCkc8TH5/psBzad2Zjx1/UXWMhoDFKaSa0xBIyyhu6PYA7CngP5u9SxQ=,0.0,,,,1900-01-01,1900-01-01,True,,
418,606,Q0000170,,,XXXXXXXXXXX389458,27.0,123.0,2019.0,0.0,,17.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAACU34LHE8QrZKm2zLh0mr77hOegmhKznh2f8ss3VlUYkXD3PzoBYskD6i3fNRJU4gU=,0.0,,,,1900-01-01,1900-01-01,True,,
419,607,Q0000170,,,XXXXXXXXXXX389459,27.0,123.0,2019.0,0.0,,18.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAAJoRzzqNatiU/fvWsTgbhzeQ+Af/LJ142xzwE70OLTRprzAjFEVBfUzWSpln/k6XU=,0.0,,,,1900-01-01,1900-01-01,True,,
420,608,Q0000170,,,XXXXXXXXXXX022261,11.0,29.0,2016.0,0.0,,19.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,5.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAB195QYS0eJTei0Q5ebxIqbrqIo/rgpFj7Ua60F48MkOEO7h6Z8bItCNtPnCFjWSRA=,0.0,,,,1900-01-01,1900-01-01,True,,
421,609,Q0000170,,,XXXXXXXXXXX584182,11.0,29.0,2015.0,0.0,,20.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,6.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAAr3MtuBakoZePc+2lYd6lUnI3mBQ1tOfmhE1QUGtFeUNIpTqkCX5UvL0rPveV582k=,0.0,,,,1900-01-01,1900-01-01,True,,
422,610,Q0000170,,,XXXXXXXXXXX114264,11.0,46.0,2015.0,0.0,,21.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,6.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABi3q9mc32tJnKUtOoaRMJh4EaEILoKPqJY2zxenBb/ZfU5VwTcNLMgatTkxubJrho=,0.0,,,,1900-01-01,1900-01-01,True,,
423,611,Q0000170,,,XXXXXXXXXXX110594,11.0,46.0,2015.0,0.0,,22.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,6.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAC8eK5QJTVlE5H5dwZEBMnOjVXqhCO1XuVgo8v3lmjzFZwk5TsBEAdVAN2QL+oN3Nw=,0.0,,,,1900-01-01,1900-01-01,True,,
424,612,Q0000170,,,XXXXXXXXXXX113703,11.0,46.0,2015.0,0.0,,23.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,6.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAB/K+ZG+FgtgzQR1vykR/BI1bEhzqnAY/HuL8z5Ni7M0XdxRhbZIxNGDjiLYCgoIjU=,0.0,,,,1900-01-01,1900-01-01,True,,
425,613,Q0000170,,,XXXXXXXXXXX145223,27.0,104.0,2017.0,0.0,,24.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,4.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABFr1vhMTghMMF22NZOlL7XQKUqYvc2hso3NkRB6aAUSL+I/BZukPsekpn6O+jQBZk=,0.0,,,,1900-01-01,1900-01-01,True,,
426,614,Q0000170,,,XXXXXXXXXXX415939,27.0,123.0,2019.0,0.0,,25.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABtsODiHtpnMciJuwsbaRtQrF+yk8qLRAATD/mt5qJ8JGGxUfkavNJGp77EPWQnGCI=,0.0,,,,1900-01-01,1900-01-01,True,,
