,POLICY_ACTIVITY_ID,POLICY_NUMBER,PRODUCT_CODE,SUB_PRODUCT_CODE,BROAD_PRODUCT_CODE,CARRIER_ID,TERM_CODE,PAPER_APPLICTION_NO,ELECTRONIC_APP_ID,EFFECTIVE_DATE,EXPIRATON_DATE,ASSIGNMENT_DATE,BINDING_DATE,PREMIUM_EFF_DATE,LAST_NOTICE_DATE,LAST_REINSTATE_DATE,LAST_TERMINATION_DATE,INCEPTION_DATE,AUDIT_FLAG,POLICY_STATUS_CODE,LATEST_FLAG,POLICY_VERSION,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,OPERATIONS_DESCRIPTION,COVERAGE_TYPE_CODE,ID_CARD_TYPE,PACKAGE_POLICY_IND,POLICY_TYPE
27,CS000000086,19TXT00023,V,CSVC,,Surya Insu,A,,CS000000086,2019-04-08 00:00:00,2020-04-08 00:00:00,2019-09-30,2019-09-30 05:54:34,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-08,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-07 05:16:17.000,,LO,,,
28,CS000000087,19AZT00015,V,CSVC,,Surya Insu,A,,CS000000087,2019-03-20 00:00:00,2020-03-20 00:00:00,2019-09-30,2019-09-30 06:00:49,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-20,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-30 06:00:49.000,,LO,,,
29,CS000000088,19AZT00020,V,CSVC,,Surya Insu,A,,CS000000088,2019-04-01 00:00:00,2020-04-01 00:00:00,2019-09-27,2019-09-27 09:32:17,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-04-01,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 05:42:17.000,,LO,,,
30,CS000000089,19AZT00021,V,CSVC,,Surya Insu,A,,CS000000089,2019-04-03 00:00:00,2020-04-03 00:00:00,2019-09-27,2019-09-27 09:30:18,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-04-03,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-09 04:32:17.000,,LO,,,
31,CS000000094,19AZT00022,V,CSVC,,Surya Insu,A,,CS000000094,2019-04-05 00:00:00,2020-04-05 00:00:00,2019-09-30,2019-09-30 06:08:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-05,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 06:38:17.000,,LO,,,
32,CS000000095,19AZT00024,V,CSVC,,Surya Insu,A,,CS000000095,2019-04-18 00:00:00,2020-04-18 00:00:00,2019-09-30,2019-09-30 06:13:28,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-18,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 07:26:17.000,,LO,,,
33,CS000000098,19TXT00050,V,CSVC,,Surya Insu,A,,CS000000098,2019-06-11 00:00:00,2020-06-11 00:00:00,2019-09-27,2019-09-27 10:46:17,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-06-11,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,RSHUKLA,2019-11-15 07:22:16.000,,LO,,,
34,CS000000099,19CAT00032,V,CSVC,,Surya Insu,A,,CS000000099,2019-05-06 00:00:00,2020-05-06 00:00:00,2019-09-30,2019-09-30 10:24:16,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-06,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-23 06:41:54.000,,LO,,,
35,CS000000100,19AZT00025,V,CSVC,,Surya Insu,A,,CS000000100,2019-04-18 00:00:00,2020-04-18 00:00:00,2019-09-30,2019-09-30 06:18:38,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-18,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-30 06:18:38.000,,LO,,,
36,CS000000101,19AZT00026,V,CSVC,,Surya Insu,A,,CS000000101,2019-04-18 00:00:00,2020-04-18 00:00:00,2019-09-30,2019-09-30 06:22:15,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-18,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 07:38:17.000,,LO,,,
37,CS000000102,19AZT00027,V,CSVC,,Surya Insu,A,,CS000000102,2019-04-18 00:00:00,2020-04-18 00:00:00,2019-09-30,2019-09-30 06:27:32,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-18,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-30 06:27:32.000,,LO,,,
38,CS000000107,19TXT00033,V,CSVC,,Surya Insu,A,,CS000000107,2019-05-08 00:00:00,2020-05-08 00:00:00,2019-09-30,2019-09-30 06:32:07,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-08,N,EXPIRED,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,RSHUKLA,2020-05-21 06:38:17.000,,LO,,,
39,CS000000108,19AZT00034,V,CSVC,,Surya Insu,A,,CS000000108,2019-05-13 00:00:00,2020-05-13 00:00:00,2019-09-30,2019-09-30 06:40:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-13,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2020-07-08 02:47:53.000,,LO,,,
40,CS000000109,19VAT00041,V,CSVC,,Surya Insu,A,,CS000000109,2019-05-17 00:00:00,2020-05-17 00:00:00,2019-12-17,2019-12-17 02:32:53,2019-12-17,2019-12-17,2019-12-17,2019-12-17,2019-05-17,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-17 02:32:53.000,,LO,,,
41,CS000000111,19AZT00046,V,CSVC,,Surya Insu,A,,CS000000111,2019-05-22 00:00:00,2020-05-22 00:00:00,2019-09-30,2019-09-30 06:43:47,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-22,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-09 05:04:17.000,,LO,,,
42,CS000000113,19AZT00006,V,CSVC,,Surya Insu,A,,CS000000113,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-10-16,2019-10-16 08:40:19,2019-10-16,2019-10-16,2019-10-16,2019-10-16,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 05:24:17.000,,LO,,,
43,CS000000116,19AZT00011,V,CSVC,,Surya Insu,A,,CS000000116,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 06:51:46,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-28 04:36:17.000,,LO,,,
44,CS000000119,19ALT00019,V,CSVC,,Surya Insu,A,,CS000000119,2019-04-01 00:00:00,2020-04-01 00:00:00,2019-09-30,2019-09-30 06:54:47,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-01,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,RSHUKLA,2019-11-26 02:50:17.000,,LO,,,
45,CS000000120,19CAT00044,V,CSVC,,Surya Insu,A,,CS000000120,2019-05-21 00:00:00,2020-05-21 00:00:00,2019-09-30,2019-09-30 06:57:04,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-21,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,RSHUKLA,2019-11-14 06:40:16.000,,LO,,,
46,CS000000121,19CAT00051,V,CSVC,,Surya Insu,A,,CS000000121,2019-06-07 00:00:00,2020-06-07 00:00:00,2019-09-30,2019-09-30 07:06:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-06-07,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-10-17 06:36:17.000,,LO,,,
47,CS000000122,19AZT00045,V,CSVC,,Surya Insu,A,,CS000000122,2019-05-22 00:00:00,2020-05-22 00:00:00,2019-09-30,2019-09-30 07:11:43,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-22,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-09 04:44:17.000,,LO,,,
48,CS000000123,19AZT00028,V,CSVC,,Surya Insu,A,,CS000000123,2019-04-22 00:00:00,2020-04-22 00:00:00,2019-09-30,2019-09-30 07:59:08,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-04-22,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-23 06:55:30.000,,LO,,,
49,CS000000125,19AZT00047,V,CSVC,,Surya Insu,A,,CS000000125,2019-05-25 00:00:00,2020-05-25 00:00:00,2019-09-30,2019-09-30 08:03:25,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-25,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-28 09:08:17.000,,LO,,,
50,CS000000126,19ALT00054,V,CSVC,,Surya Insu,A,,CS000000126,2019-06-14 00:00:00,2020-06-14 00:00:00,2019-09-30,2019-09-30 08:06:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-06-14,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-29 06:01:19.000,,LO,,,
51,CS000000127,19CAT00055,V,CSVC,,Surya Insu,A,,CS000000127,2019-05-24 00:00:00,2020-05-24 00:00:00,2019-09-30,2019-09-30 08:11:11,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-24,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-26 05:38:17.000,,LO,,,
52,CS000000131,19CAT00058,V,CSVC,,Surya Insu,A,,CS000000131,2019-07-12 00:00:00,2020-07-12 00:00:00,2019-09-30,2019-09-30 08:16:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-07-12,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-13 07:20:49.000,,LO,,,
53,CS000000132,19CAT00059,V,CSVC,,Surya Insu,A,,CS000000132,2019-07-13 00:00:00,2020-07-13 00:00:00,2019-09-30,2019-09-30 08:22:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-07-13,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-15 01:06:16.000,,LO,,,
54,CS000000133,19CAT00062,V,CSVC,,Surya Insu,A,,CS000000133,2019-07-22 00:00:00,2020-07-22 00:00:00,2019-09-27,2019-09-27 10:00:16,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-07-22,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-27 10:00:16.000,,LO,,,
55,CS000000150,P19TXT0001,V,CSVC,,Surya Insu,A,,CS000000150,2019-07-07 00:00:00,2020-07-07 00:00:00,2019-10-03,2019-10-03 08:50:17,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-07-07,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-28 00:00:00.000,ADMINISTRATOR,2020-06-29 03:43:00.000,,LO,,,
56,CS000000151,P19CAT0002,V,CSVC,,Surya Insu,A,,CS000000151,2019-07-12 00:00:00,2020-07-12 00:00:00,2019-10-03,2019-10-03 08:54:15,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-07-12,N,EXPIRED,Y,0.0,ADMINISTRATOR,2019-08-28 00:00:00.000,ADMINISTRATOR,2020-05-05 11:44:17.000,,LO,,,
57,CS000000152,P19CAT0003,V,CSVC,,Surya Insu,A,,CS000000152,2019-07-21 00:00:00,2020-07-21 00:00:00,2019-10-03,2019-10-03 08:56:17,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-07-21,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-28 00:00:00.000,ADMINISTRATOR,2019-10-03 08:56:17.000,,LO,,,
58,CS000000153,P19ALT0004,V,CSVC,,Surya Insu,A,,CS000000153,2019-07-21 00:00:00,2020-07-21 00:00:00,2020-03-29,2020-03-29 07:54:17,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2019-07-21,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-28 00:00:00.000,ADMINISTRATOR,2020-08-03 16:32:17.000,,LO,,,
59,CS000000238,19CAT00057,V,CSVC,,Surya Insu,A,,CS000000238,2019-08-01 00:00:00,2020-08-01 00:00:00,2019-10-11,2019-10-11 16:28:19,2019-10-11,2019-10-11,2019-10-11,2019-10-11,2019-08-01,N,INFORCE,Y,0.0,RSHUKLA,2019-10-08 00:00:00.000,RSHUKLA,2019-10-11 16:28:19.000,,LO,,,
60,CS000000239,19CAT00061,V,CSVC,,Surya Insu,A,,CS000000239,2019-08-05 00:00:00,2020-08-05 00:00:00,2019-10-11,2019-10-11 15:58:30,2019-10-11,2019-10-11,2019-10-11,2019-10-11,2019-08-05,N,INFORCE,Y,0.0,RSHUKLA,2019-10-08 00:00:00.000,RSHUKLA,2019-10-11 15:58:30.000,,LO,,,
61,CS000000240,19TXT00038,V,CSVC,,Surya Insu,A,,CS000000240,2019-05-14 00:00:00,2020-05-14 00:00:00,2019-10-14,2019-10-14 08:50:19,2019-10-14,2019-10-14,2019-10-14,2019-10-14,2019-05-14,N,INFORCE,Y,0.0,RSHUKLA,2019-10-08 00:00:00.000,RSHUKLA,2019-11-28 02:12:17.000,,LO,,,
62,CS000000241,19CAT00056,V,CSVC,,Surya Insu,A,,CS000000241,2019-06-30 00:00:00,2020-02-10 00:00:00,2019-10-16,2019-10-16 09:52:17,2019-10-16,2019-10-16,2019-10-16,2019-10-16,2019-06-30,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-10-10 00:00:00.000,ADMINISTRATOR,2019-12-07 08:58:17.000,,LO,,,
63,CS000000248,19TXT00016,V,CSVC,,Surya Insu,A,,CS000000248,2019-03-22 00:00:00,2020-03-22 00:00:00,2019-10-17,2019-10-17 10:06:25,2019-10-17,2019-10-17,2019-10-17,2019-10-17,2019-03-22,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-10-17 00:00:00.000,ADMINISTRATOR,2019-12-02 06:54:17.000,,LO,,,
64,CS000000249,19VAT00060,V,CSVC,,Surya Insu,A,,CS000000249,2019-07-19 00:00:00,2020-07-19 00:00:00,2019-10-21,2019-10-21 06:54:17,2019-10-21,2019-10-21,2019-10-21,2019-10-21,2019-07-19,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-10-21 00:00:00.000,ADMINISTRATOR,2019-12-26 00:25:18.000,,LO,,,
65,CS000000254,19PAT00063,V,CSVC,,Surya Insu,A,,CS000000254,2019-12-14 00:00:00,2020-12-14 00:00:00,2020-05-06,2020-05-06 23:02:44,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2019-12-14,N,INFORCE,Y,0.0,RSHUKLA,2019-12-12 00:00:00.000,ADMINISTRATOR,2020-12-18 00:10:17.000,,LO,,,
66,CS000000261,19PAT00064,V,CSVC,,Surya Insu,A,,CS000000261,2019-12-19 00:00:00,2020-12-19 00:00:00,2019-12-19,2019-12-19 05:35:20,2019-12-19,2019-12-19,2019-12-19,2019-12-19,2019-12-19,N,INFORCE,Y,0.0,RSHUKLA,2019-12-18 00:00:00.000,RSHUKLA,2020-11-30 17:50:17.000,,LO,,,
67,CS000000270,19AZT00065,V,CSVC,,Surya Insu,A,,CS000000270,2019-12-26 00:00:00,2020-12-26 00:00:00,2020-01-29,2020-01-29 12:38:17,2020-01-29,2020-01-29,2020-01-29,2020-01-29,2019-12-26,N,INFORCE,Y,0.0,RSHUKLA,2019-12-23 00:00:00.000,ADMINISTRATOR,2020-11-17 16:24:17.000,,LO,,,
