,SId,PolicyActivityId,PolicyNumber,DriverId,EffectiveDate,ExpirationDate,TransactionDate,OldDriverId,DriverActivityCode,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
10155,20230125000003409,Q0000858,22NJT00185 ,5777,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10156,20230125000003409,Q0000858,22NJT00185 ,5778,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10157,20230125000003409,Q0000858,22NJT00185 ,5779,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10158,20230125000003409,Q0000858,22NJT00185 ,5780,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10159,20230125000003409,Q0000858,22NJT00185 ,5781,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10160,20230125000003409,Q0000858,22NJT00185 ,5782,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10161,20230125000003409,Q0000858,22NJT00185 ,5783,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10162,20230125000003409,Q0000858,22NJT00185 ,5784,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10163,20230125000003409,Q0000858,22NJT00185 ,5785,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10164,20230125000003409,Q0000858,22NJT00185 ,5786,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10165,20230125000003409,Q0000858,22NJT00185 ,5787,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10166,20230125000003409,Q0000858,22NJT00185 ,5788,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10167,20230125000003409,Q0000858,22NJT00185 ,5789,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10168,20230125000003409,Q0000858,22NJT00185 ,5790,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10169,20230125000003409,Q0000858,22NJT00185 ,5791,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10170,20230125000003409,Q0000858,22NJT00185 ,5792,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10171,20230125000003409,Q0000858,22NJT00185 ,5793,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10172,20230125000003409,Q0000858,22NJT00185 ,5794,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10173,20230125000003409,Q0000858,22NJT00185 ,5795,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10174,20230125000003409,Q0000858,22NJT00185 ,5796,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10175,20230125000003409,Q0000858,22NJT00185 ,5797,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10176,20230125000003409,Q0000858,22NJT00185 ,5798,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10177,20230125000003409,Q0000858,22NJT00185 ,5799,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10178,20230125000003409,Q0000858,22NJT00185 ,5800,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10179,20230125000003409,Q0000858,22NJT00185 ,5801,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10180,20230125000003409,Q0000858,22NJT00185 ,5802,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10181,20230125000003409,Q0000858,22NJT00185 ,5803,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10182,20230125000003409,Q0000858,22NJT00185 ,5804,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10183,20230125000003409,Q0000858,22NJT00185 ,5805,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10184,20230125000003409,Q0000858,22NJT00185 ,5806,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10185,20230125000003409,Q0000858,22NJT00185 ,5807,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10186,20230125000003409,Q0000858,22NJT00185 ,5808,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10187,20230125000003409,Q0000858,22NJT00185 ,5809,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10188,20230125000003409,Q0000858,22NJT00185 ,5810,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10189,20230125000003409,Q0000858,22NJT00185 ,5811,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10190,20230125000003409,Q0000858,22NJT00185 ,5812,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10191,20230125000003409,Q0000858,22NJT00185 ,5813,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10192,20230125000003409,Q0000858,22NJT00185 ,5814,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10193,20230125000003409,Q0000858,22NJT00185 ,5815,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10194,20230125000003409,Q0000858,22NJT00185 ,5816,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10195,20230125000003409,Q0000858,22NJT00185 ,5817,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10196,20230125000003409,Q0000858,22NJT00185 ,5818,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10197,20230125000003409,Q0000858,22NJT00185 ,5819,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
10198,20230125000003409,Q0000858,22NJT00185 ,5820,2022-08-31,2023-08-31,2022-08-31,,ADD,Administrator,2023-01-25 12:58:19.673,Administrator,2023-01-25 12:58:19.673
