,SId,PolicyActivityID,PolicyNumber,EffectiveDate,TransactionCode,EndorsementReason,EndorsementRemarks,ProcessDate,ProrateFactor,WrittenPremium,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
14,20210417000000897,Q0000090,20VAN00108 ,2020-09-22 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,4500.0,Administrator,2021-04-17 07:57:41.903,Administrator,2021-04-17 07:57:41.903
15,20210417000000939,Q0000105,21NJN00122,2021-01-13 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,8122.0,Administrator,2021-04-17 08:58:34.730,Administrator,2021-04-17 08:58:34.730
16,20210418000000950,Q0000101,21NJT00129 ,2021-03-01 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,8844.0,Administrator,2021-04-18 00:11:01.337,Administrator,2021-04-18 00:11:01.337
17,20210418000001023,Q0000111,21NJN00119,2021-01-12 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,6000.0,Administrator,2021-04-18 01:29:49.107,Administrator,2021-04-18 01:29:49.107
18,20210418000001051,Q0000114,21PAT00069,2021-01-16 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,7819.0,Administrator,2021-04-18 01:58:36.207,Administrator,2021-04-18 01:58:36.207
19,20210418000001071,Q0000117,20CAN00118,2020-12-31 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,6500.0,Administrator,2021-04-18 02:01:09.707,Administrator,2021-04-18 02:01:09.707
20,20210418000001100,Q0000112,20NJL00093,2020-07-02 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,27228.0,Administrator,2021-04-18 02:15:30.477,Administrator,2021-04-18 02:15:30.477
21,20210418000001118,Q0000121,20CAN00087,2020-05-27 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,12216.0,Administrator,2021-04-18 02:23:26.003,Administrator,2021-04-18 02:23:26.003
22,20210418000001128,Q0000121,20CAN00087,2020-08-18 00:00:00,END,MULTIPLE ENDORSEMENT,Delete vehicle,2020-08-18 00:00:00.000,0.772603,-3146.04,Administrator,2021-04-18 02:31:48.220,Administrator,2021-04-18 02:31:48.220
23,20210418000001143,Q0000121,20CAN00087,2020-10-06 00:00:00,END,MULTIPLE ENDORSEMENT,Replace Vehicle,2020-10-06 00:00:00.000,0.638356,-0.01,Administrator,2021-04-18 02:42:33.610,Administrator,2021-04-18 02:42:33.610
24,20210418000001265,Q0000125,20PAT00064,2020-12-19 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,14000.0,Administrator,2021-04-18 04:00:46.257,Administrator,2021-04-18 04:00:46.257
25,20210418000001291,Q0000134,20NJT00085,2020-05-21 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,5022.0,Administrator,2021-04-18 05:37:05.267,Administrator,2021-04-18 05:37:05.267
26,20210418000001307,Q0000140,20NJT00084,2020-05-20 00:00:00,NBS,NBS,New Business,2021-04-18 00:00:00.000,1.0,15244.0,Administrator,2021-04-18 05:50:08.443,Administrator,2021-04-18 05:50:08.443
27,20210418000001367,Q0000140,20NJT00084,2021-03-05 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-03-05 00:00:00.000,0.208219,-0.02,Administrator,2021-04-18 06:13:30.453,Administrator,2021-04-18 06:13:30.453
